Reservoir unit,Latitude,Longitude,Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
KALOL,23.409,72.202,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,REJUVENATING,RIFT,2906,PALEOGENE,SANDSTONE,148.0,66.0,28.0,7500.0
PICO-SANTA BARBARA,34.3169,-119.1149,,ONSHORE,OIL,NEARLY DEPLETED,WRENCH,5000,NEOGENE,SANDSTONE,1400.0,760.0,,250.0
VALHALL (SCAPA SANDSTONE),58.427,0.325,EXTENSION/EROSION,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7523,CRETACEOUS,THINLY-BEDDED SANDSTONE,400.0,98.0,20.0,250.0
VLIELAND (BENTHEIM),52.6634,6.8553,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,2400,CRETACEOUS,SANDSTONE,100.0,70.0,32.0,7000.0
SGIATH-PIPER,58.2792,0.2312,EXTENSION/EVAPORITE,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9940,JURASSIC,SANDSTONE,360.0,290.0,16.0,100.0
BALIKPAPAN (UPPER DELTAIC SEQUENCE),-0.167,117.67,INVERSION/COMPRESSION/EXTENSION/SHALE,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,5675,NEOGENE,SANDSTONE,500.0,180.0,28.0,1628.0
SANJIANFANG,43.05,90.35,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,9186,JURASSIC,SANDSTONE,951.0,67.0,12.0,7.9
SHATLYK (SHATLYK EAST),37.39,61.1,COMPRESSION/EVAPORITE,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,11000,CRETACEOUS,SANDSTONE,148.0,63.0,21.8,222.0
SHATLYK (SHATLYK WEST),37.39,61.1,COMPRESSION/EVAPORITE,ONSHORE,GAS,REJUVENATING,FORELAND,10470,CRETACEOUS,SANDSTONE,148.0,106.0,21.8,222.0
NUBIA,27.998,33.554,,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,9125,PALEOZOIC-CRETACEOUS,SANDSTONE,850.0,700.0,,60.0
LAN KRABU,16.63,99.9,STRIKE-SLIP/TRANSTENSION/BASEMENT-I,ONSHORE,OIL,PLATEAU PRODUCTION,WRENCH,4623,NEOGENE,SANDSTONE,1772.0,262.0,20.0,50.0
TAMABRA,17.7833,-93.1167,,ONSHORE,OIL,NEARLY DEPLETED,WRENCH/SALT/PASSIVE MARGIN,12440,CRETACEOUS,DOLOMITE,1300.0,410.0,,135.0
SAN ANDRES,33.4701,-102.6771,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5100,PERMIAN,DOLOMITE,900.0,70.0,12.0,10.0
LATROBE (N-1 UNIT),-38.2008,148.0136,INVERSION/COMPRESSION/EXTENSION/EROSION,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,INVERSION/RIFT,3682,PALEOGENE,SANDSTONE,820.0,394.0,24.0,2000.0
SWAN HILLS (BEAVERHILL LAKE POOL),55.1655,-116.7022,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8500,DEVONIAN,LIMESTONE,185.0,34.2,6.8,54.0
BELRIDGE DIATOMITE (MONTEREY-ETCHEGOIN),35.4368,-119.6788,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST/WRENCH,600,NEOGENE,DIATOMITE,1000.0,900.0,55.0,1.5
GRAYBURG,31.749,-102.443,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4100,PERMIAN,DOLOMITE,400.0,90.0,8.8,15.0
FRIO (MIOGYP),30.0895,-92.6647,,ONSHORE,GAS,NEARLY DEPLETED,DELTA/SALT/PASSIVE MARGIN,16500,PALEOGENE,SANDSTONE,600.0,82.0,,100.0
K SANDS,28.1963,-90.5412,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/SALT/PASSIVE MARGIN,9910,NEOGENE,SANDSTONE,600.0,107.0,31.0,500.0
BOTUOBIN,61.2339,111.7308,,ONSHORE,OIL,CONTINUING DEVELOPMENT,INVERSION/RIFT,6168,PROTEROZOIC,SANDSTONE,100.0,23.0,,120.0
M. AUSTRALIS,-20.2886,114.2568,,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/PASSIVE MARGIN,2057,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,72.0,56.0,,2000.0
BRENT,61.2042,1.8287,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7267,JURASSIC,SANDSTONE,700.0,490.0,27.0,2500.0
STATFJORD,61.2042,1.8287,,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7972,TRIASSIC-JURASSIC,SANDSTONE,740.0,360.0,,470.0
LEDUC,52.45,-115.4286,COMPRESSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,12068,DEVONIAN,DOLOMITE,900.0,535.0,7.8,11.0
UPPER MANNVILLE (J POOL),50.2851,-111.1427,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2950,CRETACEOUS,SANDSTONE,72.5,36.5,27.0,1000.0
DONGYING,40.0172,120.8541,EXTENSION,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,4259,PALEOGENE,SANDSTONE,980.0,160.0,32.0,2600.0
SUNNILAND LIMESTONE (WEST FELDA FIELD),26.2683,-81.3397,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE MARGIN,11364,CRETACEOUS,LIMESTONE,80.0,17.0,15.0,90.0
PLOVER,-9.5901,128.1538,EXTENSION/TRANSTENSION,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,WRENCH/PASSIVE MARGIN,6660,JURASSIC,SANDSTONE,591.0,279.0,14.0,28.0
LOWER MANNVILE (O POOL),49.9191,-112.161,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3050,CRETACEOUS,SANDSTONE,190.0,18.0,17.0,1000.0
UPPER MANNVILE (A POOL),49.9191,-112.161,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3050,CRETACEOUS,SANDSTONE,165.0,35.0,25.0,2000.0
REINDEER,69.3716,-134.8935,INVERSION/COMPRESSION/EXTENSION/EROSION,ONSHORE,GAS,UNDEVELOPED,DELTA/PASSIVE MARGIN,7382,PALEOGENE,SANDSTONE,1970.0,427.0,17.0,150.0
VERMELHA,-5.2431,11.8072,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE MARGIN,2865,CRETACEOUS,SANDSTONE,550.0,175.0,25.0,1000.0
PALUXY,33.3625,-95.084,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,4059,CRETACEOUS,SANDSTONE,275.0,44.0,25.0,2460.0
TYUMEN (JUK10-JUK11),62.0,66.55,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,8399,JURASSIC,SANDSTONE,110.0,66.0,15.0,160.0
WABAMUM,55.9397,-117.5984,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5900,DEVONIAN,DOLOMITE,730.0,130.0,5.0,0.3
COTTON VALLEY LIME,31.6305,-96.2674,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,ONSHORE,GAS,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,11900,JURASSIC,CHALKY LIMESTONE,350.0,72.0,10.0,0.09
SIDI SALIM,31.84,32.145,STRIKE-SLIP/TRANSTENSION/SHALE/EVAPORITE/BASEMENT-I,OFFSHORE,GAS-CONDENSATE,DEVELOPING,WRENCH/DELTA,12390,NEOGENE,SANDSTONE,328.0,131.0,24.5,390.0
BRENT,61.2667,0.9167,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7252,JURASSIC,SANDSTONE,273.0,170.0,22.0,350.0
BRENT,61.3833,1.55,EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7970,JURASSIC,SANDSTONE,475.0,380.0,24.0,1200.0
THIRTYONE,32.1661,-102.8024,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,8100,DEVONIAN,CHERT,130.0,70.0,15.0,5.0
LA ROSA-LAGUNILLAS (TIA JUANA ONSHORE AREA),10.2617,-71.3826,COMPRESSION/EROSION,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,WRENCH/FORELAND,1400,NEOGENE,SANDSTONE,500.0,120.0,35.0,1200.0
PARADOX (UPPER ISMAY),37.4211,-109.1333,COMPRESSION/EXTENSION/EVAPORITE,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5430,CARBONIFEROUS,DOLOMITE,60.0,50.0,11.0,2.8
TIRRAWARRA,-27.6764,140.1292,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9427,CARBONIFEROUS-PERMIAN,SANDSTONE,115.0,60.0,11.2,1.0
NEDZHELIN-TAGANDZHIN-MONOM,63.75,124.0,TRANSPRESSION/UPLIFT,ONSHORE,GAS,UNDEVELOPED,PASSIVE MARGIN,8200,TRIASSIC,SANDSTONE,1640.0,123.0,17.0,28.0
TOR-EKOFISK,56.4844,2.9334,GRAVITY/EVAPORITE/EXTENSION,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT/INVERSION/RIFT,9629,CRETACEOUS-PALEOGENE,CHALK,640.0,550.0,20.0,0.8
TOR-EKOFISK,56.6389,3.3355,GRAVITY/EVAPORITE/EXTENSION,OFFSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/RIFT,9520,CRETACEOUS-PALEOGENE,CHALK,800.0,490.0,21.0,0.6
FLACOURT-BIRDRONG,-21.807,114.8181,INVERSION/COMPRESSION/EXTENSION/EROSION,ONSHORE,GAS,NEARLY DEPLETED,RIFT/PASSIVE MARGIN,1614,CRETACEOUS,GLAUCONITIC SANDSTONE,41.0,31.0,28.5,1000.0
TURNER VALLEY (RUNDLE POOL),50.6704,-114.2665,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,SUB-THRUST/FORELAND,3000,CARBONIFEROUS,DOLOMITE,450.0,296.0,8.2,7.0
XIV-1,40.1494,62.9906,,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,5078,CRETACEOUS,SANDSTONE,98.0,23.0,,65.0
XV-1,40.1494,62.9906,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,5443,JURASSIC,DOLOMITE,82.0,59.0,16.0,61.0
XV-2,40.1494,62.9906,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,5548,JURASSIC,DOLOMITE,200.0,20.0,13.0,7.3
ULA,57.117,2.833,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/RIFT,10744,JURASSIC,SANDSTONE,410.0,377.0,16.5,300.0
KAIBAB-TIMPOWEAP,37.618,-111.735,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,6350,PERMIAN-TRIASSIC,DOLOMITE,250.0,30.0,11.0,21.0
POKUR (PK1-6),66.0533,76.9497,COMPRESSION,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,3514,CRETACEOUS,SANDSTONE,700.0,440.0,30.0,330.0
KT-I,48.4061,57.3269,,ONSHORE,OIL,UNDEVELOPED,SUB-SALT/FORELAND,8290,CARBONIFEROUS,DOLOMITIC LIMESTONE,1394.0,262.0,,140.0
AFONIN,66.2022,57.2928,,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/FORELAND,9813,DEVONIAN,SANDSTONE,249.0,89.0,,120.0
UNITS XIII-XVIII,43.4175,52.8658,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,3440,JURASSIC,SANDSTONE,920.0,436.0,21.0,235.0
SAN ANDRES,32.7919,-103.5855,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4250,PERMIAN,DOLOMITE,370.0,150.0,12.0,17.0
TUXEN-SOLA,55.8167,4.5667,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/SALT/RIFT,7063,CRETACEOUS,CHALK,280.0,250.0,25.0,0.5
HOD-TOR,56.2619,3.3947,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/RIFT,7648,CRETACEOUS,CHALK,480.0,410.0,35.0,2.0
KASKAPAU (DOE CREEK I POOL),55.4714,-119.3361,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2460,CRETACEOUS,SANDSTONE,11.0,12.0,23.0,210.0
MEGION-VAREGAN (A5-B10),62.6167,77.6622,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5577,CRETACEOUS,SANDSTONE,3150.0,429.0,23.6,187.0
MIC MAC-MISSISAUGA,44.0377,-59.5735,GRAVITY/SHALE/EXTENSION,OFFSHORE,GAS,DEVELOPING,PASSIVE MARGIN,14231,JURASSIC-CRETACEOUS,SANDSTONE,5249.0,500.0,14.0,30.0
DANILOV (PREOBRAZHEN HZ),60.8929,109.0385,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,5052,PROTEROZOIC-CAMBRIAN,DOLOMITE,46.0,33.0,11.0,83.0
NEPA (VCH1-VCH2),60.8929,109.0385,INVERSION/COMPRESSION/EXTENSION,ONSHORE,OIL,DEVELOPING,INVERSION/RIFT,5216,PROTEROZOIC,SANDSTONE,200.0,25.0,10.0,209.0
FUSSELMAN-WINK,31.672,-103.532,COMPRESSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,18425,SILURIAN,DOLOMITE,127.0,34.0,5.0,5.0
BRENT,60.7984,2.9133,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,8447,JURASSIC,SANDSTONE,427.0,279.0,18.0,800.0
DUNLIN (INTRA DUNLIN SAND),60.7984,2.9133,,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9333,JURASSIC,SANDSTONE,57.0,26.0,,200.0
LEMAN SANDSTONE,53.3299,2.3626,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,8175,PERMIAN,SANDSTONE,375.0,369.0,16.0,52.0
LANSING-KANSAS CITY,37.3971,-100.9544,COMPRESSION/EROSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4075,CARBONIFEROUS,LIMESTONE,150.0,10.0,22.0,85.0
DALLE NACREE,48.8167,3.6,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,5990,JURASSIC,LIMESTONE,75.0,60.0,14.0,10.0
LODGEPOLE,49.8698,-100.9538,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,1915,CARBONIFEROUS,LIMESTONE,330.0,20.0,10.0,35.0
MINAGISH,28.6,47.8833,COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT,6580,CRETACEOUS,LIMESTONE,650.0,200.0,21.5,100.0
M. AUSTRALIS,-20.1277,116.4203,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/PASSIVE MARGIN,1657,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,164.0,98.0,32.0,7500.0
QIANJIANG,30.41,112.81,EXTENSION/EVAPORITE/GRAVITY,ONSHORE,OIL,NEARLY DEPLETED,RIFT,2421,PALEOGENE,SANDSTONE,5900.0,28.0,18.3,386.0
TAISHAN,37.7167,118.2833,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,4829,ARCHEAN,BASEMENT,656.0,190.0,1.8,7.8
BONE SPRING (3RD SANDSTONE),31.6533,-103.3046,COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11245,PERMIAN,SILTSTONE,84.0,26.0,10.0,0.5
RUNDLE-WABAMUN (A POOL),49.3077,-114.0869,COMPRESSION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,SUB-THRUST/FORELAND,8100,DEVONIAN-CARBONIFEROUS,DOLOMITE,2350.0,142.0,4.0,0.6
S SAND (RESERVOIR B) OR S RB,29.8184,-91.778,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,11600,NEOGENE,SANDSTONE,221.0,186.0,26.0,3500.0
DENGYING,29.7333,104.75,COMPRESSION,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,9485,PROTEROZOIC,DOLOMITE,2133.0,92.0,1.76,0.2
MESAVERDE (TEAPOT SAND),43.006,-105.1392,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,6367,CRETACEOUS,SANDSTONE,110.0,17.0,14.0,4.3
HALFWAY,55.2197,-119.1749,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,6125,TRIASSIC,SANDSTONE,80.0,22.0,10.2,60.0
SHAHEJIE,35.77,115.2,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,4462,PALEOGENE,SANDSTONE,6562.0,153.0,25.0,420.0
DUNDEE,44.262,-84.1784,,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2590,DEVONIAN,LIMESTONE,180.0,28.0,,4.0
UPPER MORROW (PURYEAR),35.585,-99.7432,COMPRESSION/EROSION,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,14500,CARBONIFEROUS,CONGLOMERATE,46.0,23.0,13.0,0.4
NISKU (BIGORAY C POOL),53.2287,-115.8008,,ONSHORE,OIL,UNKNOWN,FORELAND,7951,DEVONIAN,LIMESTONE,318.0,157.0,,278.0
NISKU (PEMBINA L POOL),53.2287,-115.8008,COMPRESSION,ONSHORE,OIL,UNKNOWN,FORELAND,9306,DEVONIAN,DOLOMITE,233.0,167.0,11.8,1407.0
WEST SAK,70.3401,-149.5375,,ONSHORE,OIL,DEVELOPING,FORELAND,2000,CRETACEOUS,SANDSTONE,300.0,59.0,,140.0
SAN ANDRES,32.766,-102.811,COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4810,PERMIAN,DOLOMITE,600.0,40.0,9.9,9.0
F2-F0,63.6375,54.9269,COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION/FORELAND,3493,DEVONIAN,LIMESTONE,980.0,200.0,12.0,200.0
CHARLES,48.8521,-101.013,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3275,CARBONIFEROUS,DOLOMITIC LIMESTONE,43.0,15.5,10.0,2.6
SPEARFISH,48.8521,-101.013,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3275,TRIASSIC,SANDSTONE,43.0,15.5,14.0,13.5
CHARLES (MIDALE BEDS),49.5354,-103.7584,COMPRESSION,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,4300,CARBONIFEROUS,DOLOMITE,82.0,33.0,15.0,10.0
AVALON (SOUTH POOL),46.8638,-48.0664,EXTENSION/EVAPORITE/EROSION/GRAVITY,OFFSHORE,OIL,DEVELOPING,RIFT/SALT,8842,CRETACEOUS,SANDSTONE,984.0,328.0,15.0,127.0
MISSION CANYON,41.5135,-110.9286,COMPRESSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,13300,CARBONIFEROUS,DOLOMITE,750.0,261.0,7.0,1.0
ARBUCKLE,34.8366,-95.3885,COMPRESSION/EXTENSION,ONSHORE,GAS,MATURE PRODUCTION,THRUST/FORELAND,12860,CAMBRIAN-ORDOVICIAN,DOLOMITE,2250.0,250.0,1.1,0.03
HUANGLONG,30.176,107.2948,COMPRESSION/SHALE,ONSHORE,GAS,DECLINING PRODUCTION,THRUST,12240,CARBONIFEROUS,DOLOMITE,98.0,33.0,6.0,0.2
HUANGLONG,31.1072,108.0421,COMPRESSION,ONSHORE,GAS,DEVELOPING,THRUST,13780,CARBONIFEROUS,DOLOMITE,98.0,79.0,6.0,0.77
SHERWOOD,50.6672,-2.0278,INVERSION/COMPRESSION/EXTENSION,ONSHORE-OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/INVERSION,4954,TRIASSIC,SANDSTONE,525.0,150.0,18.0,100.0
KONGDIAN-1,38.17,117.09,EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,8750,PALEOGENE,SANDSTONE,1230.0,125.0,15.6,83.0
SHAHEJIE (XINGLONGTAI),41.15,122.05,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5600,PALEOGENE,SANDSTONE,900.0,45.0,18.0,1800.0
LINGSHUI (LINGSHUI-3),17.5142,109.0088,EXTENSION,OFFSHORE,GAS,PLATEAU PRODUCTION,RIFT,11270,PALEOGENE,SANDSTONE,686.0,308.0,12.68,281.0
BAIYANGHE (JIANQUANZI L SAND),39.8015,97.4667,,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,7667,PALEOGENE,SANDSTONE,200.0,52.0,,353.0
XIAGOU,39.8015,97.4667,COMPRESSION/EROSION,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,11040,CRETACEOUS,SANDSTONE,620.0,115.0,8.5,2.45
KAPSALIANG,41.5539,83.544,,ONSHORE,GAS-CONDENSATE,DEVELOPING,THRUST/FORELAND,17132,CRETACEOUS,SANDSTONE,161.0,82.0,,90.0
BALIKPAPAN (YAKIN),-1.3522,116.8011,INVERSION/COMPRESSION/EXTENSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/BACKARC,490,NEOGENE,SANDSTONE,4800.0,400.0,25.0,500.0
POKUR,67.98,75.84,COMPRESSION,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,3280,CRETACEOUS,SANDSTONE,2460.0,144.0,27.0,450.0
GUANTAO-MINGHUAZHEN,38.37,117.36,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,3898,NEOGENE,SANDSTONE,2615.0,66.0,31.0,1475.0
WUMISHAN,38.7349,115.9453,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,9327,PROTEROZOIC,DOLOMITE,1306.0,177.0,1.3,1.2
KOYVA,63.2992,53.6303,COMPRESSION/EVAPORITE,ONSHORE,OIL,PLATEAU PRODUCTION,INVERSION/FORELAND,480,DEVONIAN,SANDSTONE,100.0,56.0,21.0,1000.0
SAN ANDRES,31.0,-102.8333,COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4150,PERMIAN,DOLOMITE,225.0,200.0,17.5,62.0
KHUFF,22.1333,56.0,COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,9219,PERMIAN,DOLOMITE,670.0,250.0,15.0,5.0
SHUAIBA,22.1333,56.0,COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,4440,CRETACEOUS,CHALK,350.0,300.0,28.0,5.0
MAJIAGOU-BADOU,37.9167,118.4333,EXTENSION,ONSHORE,OIL,NEARLY DEPLETED,RIFT,5970,ORDOVICIAN,DOLOMITE,560.0,82.0,2.5,8.4
BONE SPRING (2ND SANDSTONE),32.767,-103.7601,,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,8315,PERMIAN,SHALY SANDSTONE,140.0,35.0,,1.0
STEVENS,35.0461,-119.1904,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE,OIL,NEARLY DEPLETED,WRENCH/FOREARC,11100,NEOGENE,THINLY-BEDDED SANDSTONE,200.0,150.0,20.0,75.0
AGBADA (QUA IBOE SANDS),3.8428,8.0797,GRAVITY/COMPRESSION/SHALE/EXTENSION/LINKED,OFFSHORE,OIL,DEVELOPING,DELTA/PASSIVE MARGIN,4400,NEOGENE,SANDSTONE,190.0,100.0,27.0,2000.0
THAMAMA ZONE I,24.8667,53.6833,,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,6420,CRETACEOUS,LIMESTONE,121.0,50.0,,1.5
THAMAMA ZONE II,24.8667,53.6833,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,6940,CRETACEOUS,LIMESTONE,145.0,140.0,25.0,30.0
THAMAMA ZONE III,24.8667,53.6833,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,7085,CRETACEOUS,LIMESTONE,537.0,110.0,23.0,15.0
THAMAMA ZONE IV,24.8667,53.6833,GRAVITY/EVAPORITE/COMPRESSION,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,7850,CRETACEOUS,LIMESTONE,147.0,90.0,25.0,60.0
KONGDIAN-1 (ZAOBEI BLOCK),38.21,117.06,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,5384,PALEOGENE,SANDSTONE,230.0,69.0,26.7,1872.0
KONGDIAN-1 (ZAONAN BLOCK),38.21,117.06,,ONSHORE,OIL,PLATEAU PRODUCTION,RIFT,5545,PALEOGENE,SANDSTONE,689.0,192.0,,126.0
KONGDIAN-1 (ZILAITUN BLOCK),38.21,117.06,EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,4721,PALEOGENE,SANDSTONE,164.0,62.0,23.2,121.0
KONGDIAN-2 (FENGHUADIAN BLOCK),38.21,117.06,,ONSHORE,OIL,PLATEAU PRODUCTION,RIFT,7579,PALEOGENE,SANDSTONE,295.0,79.0,,60.0
UNNAMED (FENGHUADIAN BLOCK),38.21,117.06,EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,RIFT,9843,MESOZOIC,VOLCANICS,492.0,194.0,12.7,3.59
MELEKESKIAN,51.0,44.8042,COMPRESSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1870,CARBONIFEROUS,SANDSTONE,262.0,33.0,24.0,30.0
TULIAN B1,51.0,44.8042,COMPRESSION/EVAPORITE,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3225,CARBONIFEROUS,SANDSTONE,128.0,44.0,26.0,1000.0
